show_id,cast_id
s169,660.0
s169,661.0
s170,349.0
s170,662.0
s170,663.0
s170,67.0
s170,664.0
s170,665.0
s170,666.0
s170,667.0
s170,668.0
s171,669.0
s171,670.0
s171,671.0
s171,672.0
s171,673.0
s171,674.0
s171,675.0
s171,676.0
s171,126.0
s171,677.0
s171,678.0
s171,679.0
s171,680.0
s171,681.0
s171,682.0
s171,683.0
s171,684.0
s171,685.0
s171,686.0
s171,687.0
s171,688.0
s171,689.0
s171,525.0
s171,690.0
s171,499.0
s171,691.0
s171,692.0
s171,693.0
s171,694.0
s171,695.0
s171,696.0
s171,697.0
s171,698.0
s171,699.0
s171,700.0
s171,701.0
s172,627.0
s172,401.0
s172,702.0
s172,703.0
s172,704.0
s173,705.0
s173,706.0
s173,707.0
s173,708.0
s173,709.0
s173,710.0
s173,711.0
s173,712.0
s173,713.0
s173,714.0
s173,715.0
s173,716.0
s173,717.0
s173,718.0
s174,719.0
s175,451.0
s175,720.0
s175,721.0
s175,722.0
s175,723.0
s175,724.0
s175,725.0
s175,726.0
s175,727.0
s175,728.0
s175,729.0
s175,730.0
s176,731.0
s176,732.0
s176,733.0
s176,734.0
s176,735.0
s176,736.0
s176,737.0
s176,738.0
s177,739.0
s177,740.0
s177,741.0
s177,742.0
s177,743.0
s177,744.0
s177,365.0
s177,745.0
s177,746.0
s177,747.0
s178,748.0
s178,749.0
s178,750.0
s178,751.0
s178,752.0
s178,753.0
s178,754.0
s178,755.0
s178,756.0
s178,757.0
s179,758.0
s179,759.0
s179,760.0
s179,761.0
s179,762.0
s179,763.0
s179,764.0
s179,765.0
s180,739.0
s180,766.0
s180,767.0
s180,768.0
s180,769.0
s180,770.0
s180,771.0
s180,772.0
s183,443.0
s183,386.0
s183,773.0
s183,774.0
s183,645.0
s183,775.0
s183,776.0
s183,777.0
s183,778.0
s183,779.0
s184,780.0
s184,781.0
s184,782.0
s184,783.0
s184,784.0
s184,785.0
s184,786.0
s184,787.0
s184,788.0
s184,789.0
s189,790.0
s189,791.0
s189,792.0
s189,793.0
s189,794.0
s189,795.0
s189,796.0
s189,797.0
s191,798.0
s191,799.0
s191,800.0
s192,801.0
s192,802.0
s192,803.0
s192,804.0
s192,805.0
s192,806.0
s192,807.0
s192,808.0
s192,809.0
s192,810.0
s192,811.0
s192,812.0
s192,813.0
s192,814.0
s192,815.0
s193,816.0
s193,817.0
s193,818.0
s193,819.0
s193,820.0
s193,821.0
s193,822.0
s196,823.0
s196,824.0
s196,825.0
s196,826.0
s196,827.0
s196,828.0
s196,829.0
s196,830.0
s196,831.0
s196,832.0
s199,210.0
s199,214.0
s199,833.0
s199,834.0
s199,835.0
s199,213.0
s199,212.0
s199,836.0
s199,837.0
s199,838.0
s199,839.0
s199,840.0
s199,841.0
s199,842.0
s199,843.0
s199,215.0
s200,844.0
s200,845.0
s200,846.0
s200,847.0
s200,848.0
s200,849.0
s200,850.0
s200,851.0
s201,852.0
s201,853.0
s201,845.0
s201,854.0
s201,855.0
s201,856.0
s201,857.0
s201,858.0
s202,817.0
s202,859.0
s202,845.0
s202,855.0
s202,860.0
s202,861.0
s202,862.0
s202,285.0
s202,863.0
s202,864.0
s203,817.0
s203,865.0
s203,853.0
s203,866.0
s203,818.0
s203,867.0
s204,817.0
s204,844.0
s204,868.0
s204,869.0
s204,870.0
s204,871.0
s204,872.0
s204,873.0
s204,874.0
s204,875.0
s205,817.0
s205,865.0
s205,818.0
s205,876.0
s205,877.0
s205,878.0
s205,879.0
s205,880.0
s205,881.0
s206,882.0
s206,883.0
s206,884.0
s206,818.0
s206,885.0
s206,886.0
s206,290.0
s206,887.0
s207,888.0
s207,889.0
s207,890.0
s207,891.0
s207,892.0
s207,893.0
s207,894.0
s208,895.0
s208,896.0
s208,897.0
s208,898.0
s208,899.0
s208,900.0
s208,901.0
s209,902.0
s209,903.0
s209,904.0
s209,905.0
s209,906.0
s209,907.0
s209,908.0
s209,909.0
s210,910.0
s210,911.0
s210,912.0
s210,913.0
s210,914.0
s210,915.0
s210,916.0
s210,917.0
s210,918.0
s210,919.0
s211,920.0
s211,891.0
s211,921.0
s211,922.0
s211,923.0
s211,924.0
s211,925.0
s212,926.0
s212,927.0
s212,928.0
s212,929.0
s212,930.0
s212,931.0
s212,920.0
s212,932.0
s216,933.0
s216,823.0
s216,900.0
s216,934.0
s216,935.0
s216,895.0
s216,817.0
s216,936.0
s216,899.0
s216,937.0
s216,938.0
s216,866.0
s217,939.0
s217,817.0
s217,940.0
s217,941.0
s217,942.0
s217,943.0
s217,918.0
s217,944.0
s217,945.0
s217,946.0
s218,947.0
s218,903.0
s218,817.0
s218,948.0
s218,949.0
s218,950.0
s218,951.0
s228,952.0
s228,953.0
s228,954.0
s228,955.0
s229,592.0
s229,956.0
s229,957.0
s229,958.0
s229,959.0
s229,960.0
s229,961.0
s229,962.0
s229,963.0
s229,964.0
s230,965.0
s230,966.0
s230,967.0
s230,968.0
s232,969.0
s232,970.0
s232,971.0
s232,972.0
s232,973.0
s232,44.0
s248,974.0
s248,975.0
s248,976.0
s248,977.0
s248,978.0
s248,979.0
s248,980.0
s248,981.0
s248,982.0
s252,983.0
s252,984.0
s252,985.0
s252,986.0
s252,987.0
s252,988.0
s252,989.0
s252,990.0
s252,991.0
s252,992.0
s254,993.0
s254,994.0
s254,995.0
s254,996.0
s260,997.0
s260,998.0
s260,999.0
s260,1000.0
s260,1001.0
s260,1002.0
s260,1003.0
s260,1004.0
s265,1005.0
s265,1006.0
s265,1007.0
s265,1008.0
s265,1009.0
s265,1010.0
s265,1011.0
s265,1012.0
s265,1013.0
s265,1014.0
s265,1015.0
s265,1016.0
s265,1017.0
s265,1018.0
s268,1019.0
s268,1020.0
s268,1021.0
s268,1022.0
s268,1023.0
s268,1024.0
s268,1025.0
s268,1026.0
s271,1027.0
s271,1028.0
s271,1029.0
s271,1030.0
s271,1031.0
s271,1032.0
s271,1033.0
s274,1034.0
s274,1035.0
s274,1036.0
s274,1037.0
s274,1038.0
s277,1039.0
s277,1040.0
s277,1041.0
s277,1042.0
s277,1043.0
s277,1044.0
s279,1045.0
s280,1046.0
s280,1047.0
s280,1048.0
s280,1049.0
s280,1050.0
s280,1051.0
s280,1052.0
s280,1053.0
s282,1054.0
s282,1055.0
s282,1056.0
s282,1057.0
s282,1058.0
s282,1059.0
s282,1060.0
s282,1061.0
s282,1062.0
s282,1063.0
s283,1064.0
s283,1065.0
s283,1066.0
s283,1067.0
s283,1068.0
s283,1069.0
s283,1070.0
s283,1071.0
s283,1072.0
s283,1073.0
s283,1074.0
s283,1075.0
s283,1076.0
s283,1077.0
s283,1078.0
s285,1079.0
s285,1080.0
s285,1081.0
s285,1082.0
s285,1083.0
s285,1084.0
s285,1085.0
s285,1086.0
s286,1087.0
s286,400.0
s286,240.0
s286,1088.0
s286,1089.0
s286,1090.0
s286,1091.0
s286,1092.0
s293,1093.0
s293,1094.0
s293,647.0
s293,1095.0
s293,1096.0
s293,1097.0
s293,1098.0
s293,1099.0
s293,1100.0
s293,1101.0
s294,1102.0
s294,1103.0
s294,1104.0
s294,1105.0
s294,1106.0
s294,1107.0
s294,1108.0
s294,1109.0
s294,1110.0
s294,1111.0
s296,1112.0
s296,70.0
s296,1113.0
s296,1114.0
s296,1115.0
s296,1116.0
s296,1117.0
s298,1118.0
s298,1119.0
s298,1120.0
s298,1121.0
s298,1122.0
s298,1123.0
s298,1124.0
s298,1125.0
s298,1126.0
s298,1127.0
s298,1128.0
s298,1129.0
s298,1130.0
s298,1131.0
s298,1132.0
s298,993.0
s298,1133.0
s298,1134.0
s298,1135.0
s298,1136.0
s298,1137.0
s298,1138.0
s299,1139.0
s299,837.0
s299,1140.0
s299,214.0
s299,1141.0
s299,1142.0
s299,1143.0
s299,1144.0
s299,229.0
s299,1145.0
s299,1146.0
s300,1147.0
s300,1148.0
s300,1149.0
s300,1150.0
s300,1151.0
s300,1152.0
s300,1153.0
s300,1154.0
s300,1155.0
s301,1156.0
s301,1157.0
s301,1158.0
s301,1159.0
s301,1160.0
s301,1161.0
s301,390.0
s301,1162.0
s302,283.0
s302,1163.0
s302,898.0
s302,1164.0
s302,1165.0
s302,1166.0
s302,1167.0
s304,1168.0
s304,1169.0
s304,1170.0
s304,1171.0
s304,1172.0
s304,1173.0
s304,1174.0
s304,1175.0
s304,1176.0
s304,1177.0
s305,1178.0
s306,1179.0
s306,1180.0
s306,1181.0
s306,1182.0
s306,1183.0
s306,1184.0
s306,1185.0
s306,1186.0
s306,1187.0
s306,1188.0
s307,1103.0
s307,1189.0
s307,1190.0
s307,1191.0
s307,1192.0
s307,1193.0
s307,1194.0
s307,1195.0
s307,1196.0
s307,1197.0
s307,1198.0
s307,1199.0
s307,1200.0
s308,1201.0
s308,1202.0
s308,1203.0
s308,1204.0
s308,1205.0
s308,1206.0
s308,1207.0
s308,1208.0
s308,1209.0
s308,1210.0
s309,1211.0
s315,1212.0
s315,1213.0
s315,1214.0
s315,1215.0
s315,1216.0
s315,1217.0
s315,517.0
s315,1218.0
s316,1219.0
s316,1220.0
s316,1221.0
s316,1222.0
s316,1223.0
s316,1224.0
s316,1225.0
s316,1226.0
s316,1227.0
s316,1228.0
s317,1229.0
s317,1230.0
s317,1231.0
s317,1232.0
s317,1233.0
s317,1234.0
s317,1235.0
s326,1236.0
s326,1237.0
s326,384.0
s326,1238.0
s326,246.0
s326,1239.0
s326,1240.0
s326,1241.0
s326,1242.0
s326,1243.0
s326,1244.0
s326,1245.0
s327,1236.0
s327,1237.0
s327,1239.0
s327,1240.0
s327,1241.0
s327,1246.0
s327,1247.0
s328,407.0
s328,1248.0
s328,781.0
s328,1249.0
s328,1250.0
s328,113.0
s328,648.0
s328,1251.0
s328,1252.0
s329,1253.0
s329,1254.0
s329,1255.0
s329,1256.0
s329,1257.0
s329,1258.0
s329,1259.0
s329,1260.0
s329,1261.0
s330,1262.0
s330,1263.0
s330,1264.0
s330,1265.0
s330,1266.0
s330,1267.0
s330,1268.0
s330,1269.0
s330,1270.0
s330,1271.0
s331,1272.0
s331,1273.0
s331,1274.0
s331,1275.0
s331,1276.0
s331,1277.0
s331,1278.0
s331,383.0
s331,1279.0
s331,1280.0
s333,1281.0
s333,1282.0
s333,441.0
s333,1283.0
s333,1284.0
s333,1088.0
s333,512.0
s333,412.0
s333,1285.0
s333,1286.0
s334,1287.0
s334,1288.0
s334,1289.0
s334,1290.0
s334,1291.0
s334,1292.0
s334,1293.0
s334,1294.0
s334,1295.0
s334,1296.0
s334,661.0
s334,1297.0
s335,1298.0
s335,1299.0
s335,1300.0
s335,1301.0
s335,1302.0
s335,633.0
s335,1303.0
s335,1304.0
s335,1305.0
s336,441.0
s336,1306.0
s336,1307.0
s336,1308.0
s336,642.0
s336,1309.0
s336,1310.0
s336,1311.0
s336,1312.0
s336,1313.0
s336,1314.0
s338,1315.0
s338,1316.0
s338,1317.0
s338,1318.0
s338,1319.0
s338,1320.0
s338,1321.0
s338,1322.0
s338,1323.0
s338,1324.0
s338,1325.0
s338,1326.0
s338,1327.0
s338,1328.0
s338,1329.0
s341,1262.0
s341,1330.0
s341,1331.0
s341,1332.0
s341,1333.0
s341,1334.0
s341,1335.0
s341,122.0
s341,1336.0
s341,1337.0
s341,106.0
s341,599.0
s342,1338.0
s342,1339.0
s342,1340.0
s342,1306.0
s342,403.0
s342,622.0
s342,1341.0
s342,1342.0
s342,1343.0
s342,1344.0
s342,1345.0
s342,1346.0
s342,973.0
s342,1347.0
s342,1348.0
s343,1349.0
s343,1350.0
s343,1351.0
s343,1352.0
s343,1353.0
s343,1354.0
s343,1355.0
s343,1356.0
s343,1357.0
s344,1358.0
s344,1359.0
s344,1360.0
s344,1361.0
s344,1362.0
s344,1363.0
s344,1364.0
s344,1365.0
s344,1366.0
s344,1367.0
s345,1361.0
s345,1368.0
s345,1358.0
s345,1359.0
s345,1362.0
s345,1369.0
s345,1370.0
s346,1371.0
s346,1372.0
s346,1373.0
s346,1374.0
s346,1375.0
s346,1376.0
s346,1377.0
s346,1378.0
s346,1379.0
s346,1380.0
s346,1381.0
s346,1382.0
s347,759.0
s347,758.0
s347,1383.0
s347,1384.0
s347,1385.0
s347,784.0
s347,442.0
s347,1386.0
s347,1387.0
s347,61.0
s348,1388.0
s348,1389.0
s348,60.0
s348,1390.0
s348,1391.0
s348,1392.0
s348,1393.0
s349,1394.0
s349,1395.0
s349,514.0
s349,1396.0
s349,1397.0
s349,1398.0
s349,1399.0
s350,1400.0
s350,1401.0
s350,1402.0
s350,1005.0
s350,1403.0
s350,622.0
s350,1404.0
s350,1405.0
s350,1406.0
s350,1407.0
